2026-05-19 12:40:41,104 | INFO     | main_module          | Core init
2026-05-19 12:40:41,104 | INFO     | modules.filter       | Filters initialized
2026-05-19 12:40:41,397 | INFO     | modules.sub_modules.filter_modules.is_important.models.stt_imp_models.models.own_model.transformer.pytorch_attention.init | MultiHeadAttention initialized
2026-05-19 12:40:41,398 | INFO     | modules.sub_modules.filter_modules.is_important.models.stt_imp_models.models.own_model.transformer.pytorch_attention.init | MultiHeadAttentionlConfig: d_model=256, heads=8
2026-05-19 12:40:41,401 | INFO     | modules.sub_modules.filter_modules.is_important.models.stt_imp_models.models.own_model.transformer.feedforward.init | Feedforward initialized
2026-05-19 12:40:41,401 | INFO     | modules.sub_modules.filter_modules.is_important.models.stt_imp_models.models.own_model.transformer.feedforward.init | FeedforwardlConfig: d_model=256, d_ff=256
2026-05-19 12:40:41,451 | INFO     | modules.sub_modules.filter_modules.is_important.models.stt_imp_models.models.own_model.transformer.encoder.init | Encoder initialized
2026-05-19 12:40:41,451 | INFO     | modules.sub_modules.filter_modules.is_important.models.stt_imp_models.models.own_model.transformer.encoder.init | EncoderlConfig: d_model=256, heads=8, d_ff=256, dropout=0.31622776601683794
2026-05-19 12:40:41,499 | DEBUG    | httpcore.connection  | connect_tcp.started host='huggingface.co' port=443 local_address=None timeout=10 socket_options=None
2026-05-19 12:40:41,526 | DEBUG    | httpcore.connection  | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7db393d180d0>
2026-05-19 12:40:41,526 | DEBUG    | httpcore.connection  | start_tls.started ssl_context=<ssl.SSLContext object at 0x7db4aeb1f740> server_hostname='huggingface.co' timeout=10
2026-05-19 12:40:41,920 | DEBUG    | httpcore.connection  | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7db393d180a0>
2026-05-19 12:40:41,920 | DEBUG    | httpcore.http11      | send_request_headers.started request=<Request [b'HEAD']>
2026-05-19 12:40:41,921 | DEBUG    | httpcore.http11      | send_request_headers.complete
2026-05-19 12:40:41,921 | DEBUG    | httpcore.http11      | send_request_body.started request=<Request [b'HEAD']>
2026-05-19 12:40:41,921 | DEBUG    | httpcore.http11      | send_request_body.complete
2026-05-19 12:40:41,922 | DEBUG    | httpcore.http11      | receive_response_headers.started request=<Request [b'HEAD']>
