2026-05-17 21:19:05,775 | INFO     | main_module          | Core init
2026-05-17 21:19:05,775 | INFO     | modules.filter       | Filters initialized
2026-05-17 21:19:05,924 | INFO     | modules.sub_modules.filter_modules.is_important.models.stt_imp_models.models.own_model.transformer.pytorch_attention.init | MultiHeadAttention initialized
2026-05-17 21:19:05,925 | INFO     | modules.sub_modules.filter_modules.is_important.models.stt_imp_models.models.own_model.transformer.pytorch_attention.init | MultiHeadAttentionlConfig: d_model=256, heads=1
2026-05-17 21:19:05,927 | INFO     | modules.sub_modules.filter_modules.is_important.models.stt_imp_models.models.own_model.transformer.feedforward.init | Feedforward initialized
2026-05-17 21:19:05,927 | INFO     | modules.sub_modules.filter_modules.is_important.models.stt_imp_models.models.own_model.transformer.feedforward.init | FeedforwardlConfig: d_model=256, d_ff=128
2026-05-17 21:19:05,928 | INFO     | modules.sub_modules.filter_modules.is_important.models.stt_imp_models.models.own_model.transformer.encoder.init | Encoder initialized
2026-05-17 21:19:05,928 | INFO     | modules.sub_modules.filter_modules.is_important.models.stt_imp_models.models.own_model.transformer.encoder.init | EncoderlConfig: d_model=256, heads=1, d_ff=128, dropout=0.31622776601683794
2026-05-17 21:19:05,965 | DEBUG    | httpcore.connection  | connect_tcp.started host='huggingface.co' port=443 local_address=None timeout=10 socket_options=None
2026-05-17 21:19:06,003 | DEBUG    | httpcore.connection  | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x742aaf7e40a0>
2026-05-17 21:19:06,004 | DEBUG    | httpcore.connection  | start_tls.started ssl_context=<ssl.SSLContext object at 0x742bca51f740> server_hostname='huggingface.co' timeout=10
2026-05-17 21:19:06,038 | DEBUG    | httpcore.connection  | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x742aaf7e4070>
2026-05-17 21:19:06,039 | DEBUG    | httpcore.http11      | send_request_headers.started request=<Request [b'HEAD']>
2026-05-17 21:19:06,040 | DEBUG    | httpcore.http11      | send_request_headers.complete
2026-05-17 21:19:06,040 | DEBUG    | httpcore.http11      | send_request_body.started request=<Request [b'HEAD']>
2026-05-17 21:19:06,040 | DEBUG    | httpcore.http11      | send_request_body.complete
2026-05-17 21:19:06,041 | DEBUG    | httpcore.http11      | receive_response_headers.started request=<Request [b'HEAD']>
2026-05-17 21:19:06,200 | DEBUG    | httpcore.http11      | receive_response_headers.complete return_value=(b'HTTP/1.1', 307, b'Temporary Redirect', [(b'Content-Type', b'text/plain; charset=utf-8'), (b'Content-Length', b'238'), (b'Connection', b'keep-alive'), (b'Date', b'Sun, 17 May 2026 18:19:06 GMT'), (b'Location', b'/api/resolve-cache/models/boltuix/bert-lite/bc0e85c1c303ee38a6b4a7276ce7cf6d0581cce5/config.json?%2Fboltuix%2Fbert-lite%2Fresolve%2Fmain%2Fconfig.json=&etag=%2281ba83673fa0d07fc98d4ba418715df42ab28a6f%22'), (b'X-Powered-By', b'huggingface-moon'), (b'X-Request-Id', b'Root=1-6a0a069a-5f6d940f3f00438e29ea3478;54243f00-a918-461e-bd71-fc9f957f3da0'), (b'RateLimit', b'"resolvers";r=4999;t=109'), (b'RateLimit-Policy', b'"fixed window";"resolvers";q=5000;w=300'), (b'cross-origin-opener-policy', b'same-origin'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Access-Control-Max-Age', b'86400'), (b'Access-Control-Allow-Origin', b'https://huggingface.co'), (b'Vary', b'Origin, Accept'), (b'Access-Control-Expose-Headers', b'X-Repo-Commit,X-Request-Id,X-Error-Code,X-Error-Message,X-Total-Count,ETag,Link,Accept-Ranges,Content-Range,X-Linked-Size,X-Linked-ETag,X-Xet-Hash'), (b'X-Repo-Commit', b'bc0e85c1c303ee38a6b4a7276ce7cf6d0581cce5'), (b'Accept-Ranges', b'bytes'), (b'X-Hub-Cache', b'MISS'), (b'Content-Disposition', b'inline; filename*=UTF-8\'\'config.json; filename="config.json";'), (b'Content-Security-Policy', b"default-src 'none'; sandbox"), (b'X-Linked-ETag', b'"81ba83673fa0d07fc98d4ba418715df42ab28a6f"'), (b'X-Cache', b'Miss from cloudfront'), (b'Via', b'1.1 31609816d2408b1ea80e31e71665dfbc.cloudfront.net (CloudFront)'), (b'X-Amz-Cf-Pop', b'ARN53-P3'), (b'X-Amz-Cf-Id', b'gPGyxEbYFBg1lSU-Q5dJ1mAOPR-gFtyu6RROsYsrGTB-jFxvz3qN2Q==')])
2026-05-17 21:19:06,202 | INFO     | httpx                | HTTP Request: HEAD https://huggingface.co/boltuix/bert-lite/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-05-17 21:19:06,203 | DEBUG    | httpcore.http11      | receive_response_body.started request=<Request [b'HEAD']>
2026-05-17 21:19:06,204 | DEBUG    | httpcore.http11      | receive_response_body.complete
2026-05-17 21:19:06,204 | DEBUG    | httpcore.http11      | response_closed.started
2026-05-17 21:19:06,204 | DEBUG    | httpcore.http11      | response_closed.complete
2026-05-17 21:19:06,205 | DEBUG    | httpcore.http11      | send_request_headers.started request=<Request [b'HEAD']>
2026-05-17 21:19:06,206 | DEBUG    | httpcore.http11      | send_request_headers.complete
2026-05-17 21:19:06,206 | DEBUG    | httpcore.http11      | send_request_body.started request=<Request [b'HEAD']>
2026-05-17 21:19:06,206 | DEBUG    | httpcore.http11      | send_request_body.complete
2026-05-17 21:19:06,206 | DEBUG    | httpcore.http11      | receive_response_headers.started request=<Request [b'HEAD']>
2026-05-17 21:19:06,240 | DEBUG    | httpcore.http11      | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'text/plain; charset=utf-8'), (b'Content-Length', b'587'), (b'Connection', b'keep-alive'), (b'Date', b'Wed, 13 May 2026 12:33:48 GMT'), (b'ETag', b'"81ba83673fa0d07fc98d4ba418715df42ab28a6f"'), (b'X-Powered-By', b'huggingface-moon'), (b'X-Request-Id', b'Root=1-6a046fac-1335b433506b8b384391f3c6;adbfdde3-1218-4a8d-ac5d-f6fb77b28728'), (b'RateLimit', b'"resolvers";r=4998;t=127'), (b'RateLimit-Policy', b'"fixed window";"resolvers";q=5000;w=300'), (b'cross-origin-opener-policy', b'same-origin'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Access-Control-Max-Age', b'86400'), (b'Access-Control-Allow-Origin', b'https://huggingface.co'), (b'Access-Control-Expose-Headers', b'X-Repo-Commit,X-Request-Id,X-Error-Code,X-Error-Message,X-Total-Count,ETag,Link,Accept-Ranges,Content-Range,X-Linked-Size,X-Linked-ETag,X-Xet-Hash'), (b'X-Repo-Commit', b'bc0e85c1c303ee38a6b4a7276ce7cf6d0581cce5'), (b'Accept-Ranges', b'bytes'), (b'X-Hub-Cache', b'MISS'), (b'Content-Disposition', b'inline; filename*=UTF-8\'\'config.json; filename="config.json";'), (b'Content-Security-Policy', b"default-src 'none'; sandbox"), (b'Vary', b'Origin'), (b'X-Cache', b'Hit from cloudfront'), (b'Via', b'1.1 31609816d2408b1ea80e31e71665dfbc.cloudfront.net (CloudFront)'), (b'X-Amz-Cf-Pop', b'ARN53-P3'), (b'X-Amz-Cf-Id', b'8gsubyWuZH5tnvc2e9tRmvKgEJl_bpjibFXphsLbw8spTFm-xdKGWA=='), (b'Age', b'366318')])
2026-05-17 21:19:06,240 | INFO     | httpx                | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/boltuix/bert-lite/bc0e85c1c303ee38a6b4a7276ce7cf6d0581cce5/config.json "HTTP/1.1 200 OK"
2026-05-17 21:19:06,241 | DEBUG    | httpcore.http11      | receive_response_body.started request=<Request [b'HEAD']>
2026-05-17 21:19:06,241 | DEBUG    | httpcore.http11      | receive_response_body.complete
