2026-05-17 17:17:19,745 | INFO     | main_module          | Core init
2026-05-17 17:17:19,745 | INFO     | modules.filter       | Filters initialized
2026-05-17 17:17:20,168 | INFO     | modules.sub_modules.filter_modules.is_important.models.stt_imp_models.models.own_model.transformer.pytorch_attention.init | MultiHeadAttention initialized
2026-05-17 17:17:20,168 | INFO     | modules.sub_modules.filter_modules.is_important.models.stt_imp_models.models.own_model.transformer.pytorch_attention.init | MultiHeadAttentionlConfig: d_model=256, heads=1
2026-05-17 17:17:20,170 | INFO     | modules.sub_modules.filter_modules.is_important.models.stt_imp_models.models.own_model.transformer.feedforward.init | Feedforward initialized
2026-05-17 17:17:20,171 | INFO     | modules.sub_modules.filter_modules.is_important.models.stt_imp_models.models.own_model.transformer.feedforward.init | FeedforwardlConfig: d_model=256, d_ff=128
2026-05-17 17:17:20,176 | INFO     | modules.sub_modules.filter_modules.is_important.models.stt_imp_models.models.own_model.transformer.encoder.init | Encoder initialized
2026-05-17 17:17:20,176 | INFO     | modules.sub_modules.filter_modules.is_important.models.stt_imp_models.models.own_model.transformer.encoder.init | EncoderlConfig: d_model=256, heads=1, d_ff=128, dropout=0.31622776601683794
2026-05-17 17:17:20,225 | DEBUG    | httpcore.connection  | connect_tcp.started host='huggingface.co' port=443 local_address=None timeout=10 socket_options=None
2026-05-17 17:17:20,312 | DEBUG    | httpcore.connection  | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x75517a3dc0a0>
2026-05-17 17:17:20,320 | DEBUG    | httpcore.connection  | start_tls.started ssl_context=<ssl.SSLContext object at 0x75529501f6c0> server_hostname='huggingface.co' timeout=10
2026-05-17 17:17:21,570 | DEBUG    | httpcore.connection  | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x75517a3dc070>
2026-05-17 17:17:21,571 | DEBUG    | httpcore.http11      | send_request_headers.started request=<Request [b'HEAD']>
2026-05-17 17:17:21,572 | DEBUG    | httpcore.http11      | send_request_headers.complete
2026-05-17 17:17:21,572 | DEBUG    | httpcore.http11      | send_request_body.started request=<Request [b'HEAD']>
2026-05-17 17:17:21,572 | DEBUG    | httpcore.http11      | send_request_body.complete
2026-05-17 17:17:21,572 | DEBUG    | httpcore.http11      | receive_response_headers.started request=<Request [b'HEAD']>
2026-05-17 17:17:21,722 | DEBUG    | httpcore.http11      | receive_response_headers.complete return_value=(b'HTTP/1.1', 307, b'Temporary Redirect', [(b'Content-Type', b'text/plain; charset=utf-8'), (b'Content-Length', b'238'), (b'Connection', b'keep-alive'), (b'Date', b'Sun, 17 May 2026 14:17:21 GMT'), (b'Location', b'/api/resolve-cache/models/boltuix/bert-lite/bc0e85c1c303ee38a6b4a7276ce7cf6d0581cce5/config.json?%2Fboltuix%2Fbert-lite%2Fresolve%2Fmain%2Fconfig.json=&etag=%2281ba83673fa0d07fc98d4ba418715df42ab28a6f%22'), (b'X-Powered-By', b'huggingface-moon'), (b'X-Request-Id', b'Root=1-6a09cdf1-45ae981815d361106f66ca16;dfb414f1-26dc-499c-a1a1-8988831a23fc'), (b'RateLimit', b'"resolvers";r=4999;t=214'), (b'RateLimit-Policy', b'"fixed window";"resolvers";q=5000;w=300'), (b'cross-origin-opener-policy', b'same-origin'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Access-Control-Max-Age', b'86400'), (b'Access-Control-Allow-Origin', b'https://huggingface.co'), (b'Vary', b'Origin, Accept'), (b'Access-Control-Expose-Headers', b'X-Repo-Commit,X-Request-Id,X-Error-Code,X-Error-Message,X-Total-Count,ETag,Link,Accept-Ranges,Content-Range,X-Linked-Size,X-Linked-ETag,X-Xet-Hash'), (b'X-Repo-Commit', b'bc0e85c1c303ee38a6b4a7276ce7cf6d0581cce5'), (b'Accept-Ranges', b'bytes'), (b'X-Hub-Cache', b'MISS'), (b'Content-Disposition', b'inline; filename*=UTF-8\'\'config.json; filename="config.json";'), (b'Content-Security-Policy', b"default-src 'none'; sandbox"), (b'X-Linked-ETag', b'"81ba83673fa0d07fc98d4ba418715df42ab28a6f"'), (b'X-Cache', b'Miss from cloudfront'), (b'Via', b'1.1 930075038957925711fe5dca561b2c04.cloudfront.net (CloudFront)'), (b'X-Amz-Cf-Pop', b'WAW51-P2'), (b'X-Amz-Cf-Id', b'BD7Ub2DLtVGK-J0nFJb1WjrvNpm8_UpobR9Vt37zhChv1UZYa_k0Iw==')])
2026-05-17 17:17:21,727 | INFO     | httpx                | HTTP Request: HEAD https://huggingface.co/boltuix/bert-lite/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-05-17 17:17:21,728 | DEBUG    | httpcore.http11      | receive_response_body.started request=<Request [b'HEAD']>
2026-05-17 17:17:21,729 | DEBUG    | httpcore.http11      | receive_response_body.complete
2026-05-17 17:17:21,729 | DEBUG    | httpcore.http11      | response_closed.started
2026-05-17 17:17:21,729 | DEBUG    | httpcore.http11      | response_closed.complete
2026-05-17 17:17:21,731 | DEBUG    | httpcore.http11      | send_request_headers.started request=<Request [b'HEAD']>
2026-05-17 17:17:21,731 | DEBUG    | httpcore.http11      | send_request_headers.complete
2026-05-17 17:17:21,731 | DEBUG    | httpcore.http11      | send_request_body.started request=<Request [b'HEAD']>
2026-05-17 17:17:21,732 | DEBUG    | httpcore.http11      | send_request_body.complete
2026-05-17 17:17:21,732 | DEBUG    | httpcore.http11      | receive_response_headers.started request=<Request [b'HEAD']>
2026-05-17 17:17:21,757 | DEBUG    | httpcore.http11      | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'text/plain; charset=utf-8'), (b'Content-Length', b'587'), (b'Connection', b'keep-alive'), (b'Date', b'Wed, 13 May 2026 12:33:48 GMT'), (b'ETag', b'"81ba83673fa0d07fc98d4ba418715df42ab28a6f"'), (b'X-Powered-By', b'huggingface-moon'), (b'X-Request-Id', b'Root=1-6a046fac-1335b433506b8b384391f3c6;adbfdde3-1218-4a8d-ac5d-f6fb77b28728'), (b'RateLimit', b'"resolvers";r=4998;t=127'), (b'RateLimit-Policy', b'"fixed window";"resolvers";q=5000;w=300'), (b'cross-origin-opener-policy', b'same-origin'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Access-Control-Max-Age', b'86400'), (b'Access-Control-Allow-Origin', b'https://huggingface.co'), (b'Access-Control-Expose-Headers', b'X-Repo-Commit,X-Request-Id,X-Error-Code,X-Error-Message,X-Total-Count,ETag,Link,Accept-Ranges,Content-Range,X-Linked-Size,X-Linked-ETag,X-Xet-Hash'), (b'X-Repo-Commit', b'bc0e85c1c303ee38a6b4a7276ce7cf6d0581cce5'), (b'Accept-Ranges', b'bytes'), (b'X-Hub-Cache', b'MISS'), (b'Content-Disposition', b'inline; filename*=UTF-8\'\'config.json; filename="config.json";'), (b'Content-Security-Policy', b"default-src 'none'; sandbox"), (b'Vary', b'Origin'), (b'X-Cache', b'Hit from cloudfront'), (b'Via', b'1.1 930075038957925711fe5dca561b2c04.cloudfront.net (CloudFront)'), (b'X-Amz-Cf-Pop', b'WAW51-P2'), (b'X-Amz-Cf-Id', b'uG8fkhlEnfRk04DZpQpT_iPqH7TMnT3Gu767cxOzp4ODR9syWYzrcw=='), (b'Age', b'351813')])
2026-05-17 17:17:21,765 | INFO     | httpx                | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/boltuix/bert-lite/bc0e85c1c303ee38a6b4a7276ce7cf6d0581cce5/config.json "HTTP/1.1 200 OK"
2026-05-17 17:17:21,765 | DEBUG    | httpcore.http11      | receive_response_body.started request=<Request [b'HEAD']>
2026-05-17 17:17:21,765 | DEBUG    | httpcore.http11      | receive_response_body.complete
2026-05-17 17:17:21,765 | DEBUG    | httpcore.http11      | response_closed.started
2026-05-17 17:17:21,766 | DEBUG    | httpcore.http11      | response_closed.complete
2026-05-17 17:17:21,869 | DEBUG    | httpcore.http11      | send_request_headers.started request=<Request [b'HEAD']>
2026-05-17 17:17:21,869 | DEBUG    | httpcore.http11      | send_request_headers.complete
2026-05-17 17:17:21,869 | DEBUG    | httpcore.http11      | send_request_body.started request=<Request [b'HEAD']>
2026-05-17 17:17:21,870 | DEBUG    | httpcore.http11      | send_request_body.complete
2026-05-17 17:17:21,870 | DEBUG    | httpcore.http11      | receive_response_headers.started request=<Request [b'HEAD']>
