2026-05-17 15:13:39,974 | INFO     | main_module          | Core init
2026-05-17 15:13:39,974 | INFO     | modules.filter       | Filters initialized
2026-05-17 15:13:40,143 | INFO     | modules.sub_modules.filter_modules.is_important.models.stt_imp_models.models.own_model.transformer.pytorch_attention.init | MultiHeadAttention initialized
2026-05-17 15:13:40,143 | INFO     | modules.sub_modules.filter_modules.is_important.models.stt_imp_models.models.own_model.transformer.pytorch_attention.init | MultiHeadAttentionlConfig: d_model=256, heads=1
2026-05-17 15:13:40,144 | INFO     | modules.sub_modules.filter_modules.is_important.models.stt_imp_models.models.own_model.transformer.feedforward.init | Feedforward initialized
2026-05-17 15:13:40,144 | INFO     | modules.sub_modules.filter_modules.is_important.models.stt_imp_models.models.own_model.transformer.feedforward.init | FeedforwardlConfig: d_model=256, d_ff=128
2026-05-17 15:13:40,145 | INFO     | modules.sub_modules.filter_modules.is_important.models.stt_imp_models.models.own_model.transformer.encoder.init | Encoder initialized
2026-05-17 15:13:40,145 | INFO     | modules.sub_modules.filter_modules.is_important.models.stt_imp_models.models.own_model.transformer.encoder.init | EncoderlConfig: d_model=256, heads=1, d_ff=128, dropout=0.31622776601683794
2026-05-17 15:13:40,205 | DEBUG    | httpcore.connection  | connect_tcp.started host='huggingface.co' port=443 local_address=None timeout=10 socket_options=None
2026-05-17 15:13:40,293 | DEBUG    | httpcore.connection  | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7df93c3ebc10>
2026-05-17 15:13:40,294 | DEBUG    | httpcore.connection  | start_tls.started ssl_context=<ssl.SSLContext object at 0x7dfa530236c0> server_hostname='huggingface.co' timeout=10
2026-05-17 15:13:40,535 | DEBUG    | httpcore.connection  | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7df93c3ebb50>
2026-05-17 15:13:40,535 | DEBUG    | httpcore.http11      | send_request_headers.started request=<Request [b'HEAD']>
2026-05-17 15:13:40,536 | DEBUG    | httpcore.http11      | send_request_headers.complete
2026-05-17 15:13:40,536 | DEBUG    | httpcore.http11      | send_request_body.started request=<Request [b'HEAD']>
2026-05-17 15:13:40,536 | DEBUG    | httpcore.http11      | send_request_body.complete
2026-05-17 15:13:40,537 | DEBUG    | httpcore.http11      | receive_response_headers.started request=<Request [b'HEAD']>
2026-05-17 15:13:40,691 | DEBUG    | httpcore.http11      | receive_response_headers.complete return_value=(b'HTTP/1.1', 307, b'Temporary Redirect', [(b'Content-Type', b'text/plain; charset=utf-8'), (b'Content-Length', b'238'), (b'Connection', b'keep-alive'), (b'Date', b'Sun, 17 May 2026 12:13:40 GMT'), (b'Location', b'/api/resolve-cache/models/boltuix/bert-lite/bc0e85c1c303ee38a6b4a7276ce7cf6d0581cce5/config.json?%2Fboltuix%2Fbert-lite%2Fresolve%2Fmain%2Fconfig.json=&etag=%2281ba83673fa0d07fc98d4ba418715df42ab28a6f%22'), (b'X-Powered-By', b'huggingface-moon'), (b'X-Request-Id', b'Root=1-6a09b0f4-3cc02dc850859a9825299127;221fea69-3d2d-48d0-aa0c-02138fa5fbb8'), (b'RateLimit', b'"resolvers";r=4999;t=135'), (b'RateLimit-Policy', b'"fixed window";"resolvers";q=5000;w=300'), (b'cross-origin-opener-policy', b'same-origin'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Access-Control-Max-Age', b'86400'), (b'Access-Control-Allow-Origin', b'https://huggingface.co'), (b'Vary', b'Origin, Accept'), (b'Access-Control-Expose-Headers', b'X-Repo-Commit,X-Request-Id,X-Error-Code,X-Error-Message,X-Total-Count,ETag,Link,Accept-Ranges,Content-Range,X-Linked-Size,X-Linked-ETag,X-Xet-Hash'), (b'X-Repo-Commit', b'bc0e85c1c303ee38a6b4a7276ce7cf6d0581cce5'), (b'Accept-Ranges', b'bytes'), (b'X-Hub-Cache', b'MISS'), (b'Content-Disposition', b'inline; filename*=UTF-8\'\'config.json; filename="config.json";'), (b'Content-Security-Policy', b"default-src 'none'; sandbox"), (b'X-Linked-ETag', b'"81ba83673fa0d07fc98d4ba418715df42ab28a6f"'), (b'X-Cache', b'Miss from cloudfront'), (b'Via', b'1.1 a8d99ef797d085739f567e661bc20536.cloudfront.net (CloudFront)'), (b'X-Amz-Cf-Pop', b'WAW51-P2'), (b'X-Amz-Cf-Id', b'8RYHmPr87j3wcb3w-JPpYO04kqLKesBBxT9Yp_vwFPHPEHHr5QMhxA==')])
2026-05-17 15:13:40,693 | INFO     | httpx                | HTTP Request: HEAD https://huggingface.co/boltuix/bert-lite/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-05-17 15:13:40,694 | DEBUG    | httpcore.http11      | receive_response_body.started request=<Request [b'HEAD']>
2026-05-17 15:13:40,694 | DEBUG    | httpcore.http11      | receive_response_body.complete
2026-05-17 15:13:40,694 | DEBUG    | httpcore.http11      | response_closed.started
2026-05-17 15:13:40,694 | DEBUG    | httpcore.http11      | response_closed.complete
2026-05-17 15:13:40,695 | DEBUG    | httpcore.http11      | send_request_headers.started request=<Request [b'HEAD']>
2026-05-17 15:13:40,696 | DEBUG    | httpcore.http11      | send_request_headers.complete
2026-05-17 15:13:40,696 | DEBUG    | httpcore.http11      | send_request_body.started request=<Request [b'HEAD']>
2026-05-17 15:13:40,696 | DEBUG    | httpcore.http11      | send_request_body.complete
2026-05-17 15:13:40,697 | DEBUG    | httpcore.http11      | receive_response_headers.started request=<Request [b'HEAD']>
2026-05-17 15:13:40,727 | DEBUG    | httpcore.http11      | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'text/plain; charset=utf-8'), (b'Content-Length', b'587'), (b'Connection', b'keep-alive'), (b'Date', b'Wed, 13 May 2026 12:33:48 GMT'), (b'ETag', b'"81ba83673fa0d07fc98d4ba418715df42ab28a6f"'), (b'X-Powered-By', b'huggingface-moon'), (b'X-Request-Id', b'Root=1-6a046fac-1335b433506b8b384391f3c6;adbfdde3-1218-4a8d-ac5d-f6fb77b28728'), (b'RateLimit', b'"resolvers";r=4998;t=127'), (b'RateLimit-Policy', b'"fixed window";"resolvers";q=5000;w=300'), (b'cross-origin-opener-policy', b'same-origin'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Access-Control-Max-Age', b'86400'), (b'Access-Control-Allow-Origin', b'https://huggingface.co'), (b'Access-Control-Expose-Headers', b'X-Repo-Commit,X-Request-Id,X-Error-Code,X-Error-Message,X-Total-Count,ETag,Link,Accept-Ranges,Content-Range,X-Linked-Size,X-Linked-ETag,X-Xet-Hash'), (b'X-Repo-Commit', b'bc0e85c1c303ee38a6b4a7276ce7cf6d0581cce5'), (b'Accept-Ranges', b'bytes'), (b'X-Hub-Cache', b'MISS'), (b'Content-Disposition', b'inline; filename*=UTF-8\'\'config.json; filename="config.json";'), (b'Content-Security-Policy', b"default-src 'none'; sandbox"), (b'Vary', b'Origin'), (b'X-Cache', b'Hit from cloudfront'), (b'Via', b'1.1 a8d99ef797d085739f567e661bc20536.cloudfront.net (CloudFront)'), (b'X-Amz-Cf-Pop', b'WAW51-P2'), (b'X-Amz-Cf-Id', b'YL5j3QE7ArxvV4BblwLeWV21ZWYOXrTOa9IWdARmVVciNoADPgEScA=='), (b'Age', b'344392')])
2026-05-17 15:13:40,728 | INFO     | httpx                | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/boltuix/bert-lite/bc0e85c1c303ee38a6b4a7276ce7cf6d0581cce5/config.json "HTTP/1.1 200 OK"
2026-05-17 15:13:40,728 | DEBUG    | httpcore.http11      | receive_response_body.started request=<Request [b'HEAD']>
2026-05-17 15:13:40,728 | DEBUG    | httpcore.http11      | receive_response_body.complete
2026-05-17 15:13:40,728 | DEBUG    | httpcore.http11      | response_closed.started
2026-05-17 15:13:40,728 | DEBUG    | httpcore.http11      | response_closed.complete
2026-05-17 15:13:40,791 | DEBUG    | httpcore.http11      | send_request_headers.started request=<Request [b'HEAD']>
2026-05-17 15:13:40,792 | DEBUG    | httpcore.http11      | send_request_headers.complete
2026-05-17 15:13:40,792 | DEBUG    | httpcore.http11      | send_request_body.started request=<Request [b'HEAD']>
2026-05-17 15:13:40,792 | DEBUG    | httpcore.http11      | send_request_body.complete
2026-05-17 15:13:40,792 | DEBUG    | httpcore.http11      | receive_response_headers.started request=<Request [b'HEAD']>
2026-05-17 15:13:40,944 | DEBUG    | httpcore.http11      | receive_response_headers.complete return_value=(b'HTTP/1.1', 307, b'Temporary Redirect', [(b'Content-Type', b'text/plain; charset=utf-8'), (b'Content-Length', b'258'), (b'Connection', b'keep-alive'), (b'Date', b'Sun, 17 May 2026 12:13:40 GMT'), (b'Location', b'/api/resolve-cache/models/boltuix/bert-lite/bc0e85c1c303ee38a6b4a7276ce7cf6d0581cce5/tokenizer_config.json?%2Fboltuix%2Fbert-lite%2Fresolve%2Fmain%2Ftokenizer_config.json=&etag=%22d5c1bb83f067f79da262aed09cbefafcbe8b4805%22'), (b'X-Powered-By', b'huggingface-moon'), (b'X-Request-Id', b'Root=1-6a09b0f4-779bd51d16381c81667a2ae4;9bdf01d5-5105-470d-8e21-a6e71874296e'), (b'RateLimit', b'"resolvers";r=4998;t=135'), (b'RateLimit-Policy', b'"fixed window";"resolvers";q=5000;w=300'), (b'cross-origin-opener-policy', b'same-origin'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Access-Control-Max-Age', b'86400'), (b'Access-Control-Allow-Origin', b'https://huggingface.co'), (b'Vary', b'Origin, Accept'), (b'Access-Control-Expose-Headers', b'X-Repo-Commit,X-Request-Id,X-Error-Code,X-Error-Message,X-Total-Count,ETag,Link,Accept-Ranges,Content-Range,X-Linked-Size,X-Linked-ETag,X-Xet-Hash'), (b'X-Repo-Commit', b'bc0e85c1c303ee38a6b4a7276ce7cf6d0581cce5'), (b'Accept-Ranges', b'bytes'), (b'X-Hub-Cache', b'MISS'), (b'Content-Disposition', b'inline; filename*=UTF-8\'\'tokenizer_config.json; filename="tokenizer_config.json";'), (b'Content-Security-Policy', b"default-src 'none'; sandbox"), (b'X-Linked-ETag', b'"d5c1bb83f067f79da262aed09cbefafcbe8b4805"'), (b'X-Cache', b'Miss from cloudfront'), (b'Via', b'1.1 a8d99ef797d085739f567e661bc20536.cloudfront.net (CloudFront)'), (b'X-Amz-Cf-Pop', b'WAW51-P2'), (b'X-Amz-Cf-Id', b'LB4klJ6C7k9ENvHVQ6HuU918hZDeIE599VFHKyz3RDbTNyAgk5Dg9g==')])
2026-05-17 15:13:40,945 | INFO     | httpx                | HTTP Request: HEAD https://huggingface.co/boltuix/bert-lite/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-05-17 15:13:40,946 | DEBUG    | httpcore.http11      | receive_response_body.started request=<Request [b'HEAD']>
2026-05-17 15:13:40,946 | DEBUG    | httpcore.http11      | receive_response_body.complete
2026-05-17 15:13:40,946 | DEBUG    | httpcore.http11      | response_closed.started
2026-05-17 15:13:40,947 | DEBUG    | httpcore.http11      | response_closed.complete
2026-05-17 15:13:40,948 | DEBUG    | httpcore.http11      | send_request_headers.started request=<Request [b'HEAD']>
2026-05-17 15:13:40,948 | DEBUG    | httpcore.http11      | send_request_headers.complete
2026-05-17 15:13:40,949 | DEBUG    | httpcore.http11      | send_request_body.started request=<Request [b'HEAD']>
2026-05-17 15:13:40,949 | DEBUG    | httpcore.http11      | send_request_body.complete
2026-05-17 15:13:40,949 | DEBUG    | httpcore.http11      | receive_response_headers.started request=<Request [b'HEAD']>
