2026-05-17 17:17:41,109 | INFO     | chat_module          | ChatModule init
2026-05-17 17:17:41,109 | INFO     | side_llm_pipeline.side_model | SideModel init
2026-05-17 17:17:41,110 | INFO     | side_llm_pipeline.models.Qwen_Qwen3_4B_Instruct_2507.model | Loading Qwen model
2026-05-17 17:17:41,110 | DEBUG    | side_llm_pipeline.models.Qwen_Qwen3_4B_Instruct_2507.model | Loading tokenizer | model=Qwen/Qwen3-4B-Instruct-2507
2026-05-17 17:17:41,151 | DEBUG    | httpcore.connection  | connect_tcp.started host='huggingface.co' port=443 local_address=None timeout=10 socket_options=None
2026-05-17 17:17:41,170 | DEBUG    | httpcore.connection  | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7faacf672110>
2026-05-17 17:17:41,171 | DEBUG    | httpcore.connection  | start_tls.started ssl_context=<ssl.SSLContext object at 0x7faacf836ec0> server_hostname='huggingface.co' timeout=10
2026-05-17 17:17:41,439 | DEBUG    | httpcore.connection  | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7faacf672140>
2026-05-17 17:17:41,439 | DEBUG    | httpcore.http11      | send_request_headers.started request=<Request [b'HEAD']>
2026-05-17 17:17:41,439 | DEBUG    | httpcore.http11      | send_request_headers.complete
2026-05-17 17:17:41,439 | DEBUG    | httpcore.http11      | send_request_body.started request=<Request [b'HEAD']>
2026-05-17 17:17:41,440 | DEBUG    | httpcore.http11      | send_request_body.complete
2026-05-17 17:17:41,440 | DEBUG    | httpcore.http11      | receive_response_headers.started request=<Request [b'HEAD']>
